                  yr,year,gpp_yr,Rnitr,NPP_yr,Rh_yr,NEE_yr,Precp,Evap,Transp,Runoff,N_up,N_fix,N_depo,N_leach,N_vol,N_def,Q_leaf,Q_wood,Q_root,Q_fine,Q_coarse,Q_Micr,Q_Slow,Q_Pass,N_leaf,N_wood,N_root,N_fine,N_coarse,N_micr,N_slowC,N_pass,QNminer,NSN
     1,  1998,   2560.6399,     27.1625,   1433.6226,    802.9190,   -645.4955,   1209.1770,    399.1686,    311.1810,    543.3007,     13.8715,      0.0000,      2.3400,      4.8721,      2.3451,      0.0816,    278.2741,   4771.3521,    394.4825,    213.2277,    314.9225,     68.2512,   3989.9846,    314.7603,      5.5655,     13.6307,      6.5747,      5.3301,      1.0497,      3.9407,    211.2025,     26.2300,      0.0129,      5.9186,
     2,  1999,   2660.3369,     89.8626,   1460.2975,    792.6522,   -682.8255,   1363.0037,    428.5314,    330.7642,    565.5776,     14.4136,      0.0000,      2.3400,      0.0305,      0.0519,      0.1443,    287.0745,   5273.7451,    431.5908,    213.2492,    335.8853,     70.9164,   4056.9263,    316.9231,      5.7415,     15.0652,      7.1932,      5.3300,      1.1196,      3.6050,    211.3815,     26.4102,      0.0087,      5.8561,
     3,  2000,   2595.8738,     83.2810,   1441.2563,    804.2281,   -619.7870,   1131.5302,    382.7646,    312.4524,    438.1565,     14.0272,      0.0000,      2.3464,      0.0229,      0.0464,      0.0553,    277.4906,   5754.1318,    427.3604,    236.0372,    368.8395,     74.2777,   4130.9658,    319.1844,      5.5498,     16.4379,      7.1227,      5.9003,      1.2295,      3.9127,    211.2755,     26.5987,      0.0111,      5.9455,
     4,  2001,   2745.7910,     91.8651,   1510.8297,    842.6819,   -680.2120,    946.5953,    404.6934,    328.0786,    247.0839,     14.8771,      0.0000,      2.3400,      0.0175,      0.0461,      0.1532,    289.6771,   6250.4546,    458.9517,    225.5463,    398.9603,     76.5137,   4217.0015,    321.6388,      5.7935,     17.8559,      7.6492,      5.6380,      1.3299,      3.5412,    211.7841,     26.8032,      0.0141,      5.8480,
     5,  2002,   2270.5688,     94.8108,   1239.3960,    868.0182,   -372.4224,   1092.1993,    382.9335,    284.6907,    388.7274,     12.8557,      0.0000,      2.3400,      0.0145,      0.0326,      0.2240,    283.7731,   6562.8306,    398.0865,    219.1464,    424.1052,     75.6518,   4308.7329,    324.2742,      5.6755,     18.7472,      6.6348,      5.4714,      1.4137,      3.0493,    214.7495,     27.0228,      0.0048,      5.7774,
     6,  2003,   2647.2607,    112.6657,   1447.4631,    856.3513,   -590.1772,   1345.7749,    357.0734,    303.1859,    688.8698,     12.6539,      0.0000,      2.3400,      0.0240,      0.0222,      1.8267,    289.0842,   7004.1201,    432.6824,    210.0568,    449.4605,     74.1309,   4389.2383,    326.9584,      5.7817,     20.0074,      7.2114,      5.1237,      1.4982,      2.8665,    216.9180,     27.2465,      0.0063,      4.1751,
     7,  2004,   2694.7656,    121.0091,   1476.4150,    893.0673,   -582.4294,    992.0981,    355.0992,    310.0148,    323.3672,     13.3630,      0.1398,      2.3464,      0.0088,      0.0219,      2.9303,    292.2730,   7432.7603,    448.0757,    214.4406,    474.6874,     76.8091,   4474.8623,    329.8213,      5.8455,     21.2336,      7.4679,      5.1333,      1.5823,      2.8636,    218.5957,     27.4851,      0.0054,      3.0718,
     8,  2005,   2572.0654,    126.5416,   1384.1119,    912.6193,   -475.6740,    934.3985,    363.9831,    314.3529,    252.8855,     13.2091,      0.5812,      2.3400,      0.0072,      0.0216,      3.0111,    281.5814,   7769.9224,    421.1107,    223.2841,    505.1222,     79.9421,   4571.1548,    332.8258,      5.6316,     22.1933,      7.0185,      5.4043,      1.6837,      2.9967,    220.5108,     27.7355,      0.0059,      2.9914,
     9,  2006,   2777.8606,    125.5298,   1494.5582,    910.5184,   -584.1444,   1101.7489,    401.5654,    337.3654,    365.0610,     13.0111,      0.5040,      2.3400,      0.0106,      0.0209,      4.3551,    294.7807,   8167.3965,    444.1519,    220.4269,    538.8314,     81.4454,   4668.0225,    335.9098,      5.8956,     23.3289,      7.4025,      5.3503,      1.7961,      3.0029,    222.5551,     27.9924,      0.0045,      1.6480,
    10,  2007,   2254.8628,    117.4529,   1193.4401,    846.9249,   -339.2464,    800.6030,    423.6958,    282.5786,    188.9741,     11.5382,      0.7465,      2.3400,      0.0053,      0.0200,      4.5857,    260.1301,   8386.1787,    419.2161,    244.7916,    565.8583,     87.9373,   4765.9209,    338.8249,      5.2026,     23.9559,      6.9869,      6.0479,      1.8862,      3.2412,    225.0483,     28.2354,      0.0084,      1.4177,
    11,  1998,   2510.2068,    121.3610,   1267.1860,    935.1879,   -324.7982,   1209.1770,    395.5893,    312.0761,    455.6446,     13.2491,      0.4004,      2.3400,      0.0143,      0.0212,      4.4835,    283.1131,   8592.7432,    398.4382,    223.8017,    590.1010,     82.9466,   4870.4795,    342.1842,      5.6623,     24.5439,      6.6406,      5.4742,      1.9670,      3.0301,    227.3696,     28.5153,      0.0057,      1.5211,
    12,  1999,   2669.0615,    122.2111,   1356.9501,    939.1146,   -430.4624,   1363.0037,    432.1375,    335.7043,    548.4761,     13.1873,      0.5093,      2.3400,      0.0148,      0.0220,      4.4842,    292.9449,   8866.6270,    412.6585,    205.8749,    606.3258,     79.8748,   4966.5269,    345.6578,      5.8589,     25.3263,      6.8776,      5.0915,      2.0211,      2.9436,    229.0804,     28.8048,      0.0061,      1.5210,
    13,  2000,   2604.4399,    123.8589,   1392.1558,    928.5423,   -446.0903,   1131.5302,    385.6759,    317.2354,    431.5282,     12.6081,      1.0800,      2.3464,      0.0124,      0.0212,      4.3495,    281.7266,   9162.2734,    410.9375,    227.0090,    633.8952,     83.0472,   5057.9258,    349.1483,      5.6345,     26.1691,      6.8490,      5.5539,      2.1130,      3.0877,    230.7512,     29.0957,      0.0052,      1.6563,
    14,  2001,   2745.2583,    125.0625,   1406.4236,    959.4701,   -459.4635,    946.5953,    406.2018,    331.4799,    243.5219,     12.9981,      1.0417,      2.3400,      0.0087,      0.0219,      4.4496,    293.2364,   9448.4307,    433.4603,    214.1033,    652.3588,     84.1018,   5156.8481,    352.8204,      5.8647,     26.9886,      7.2243,      5.2678,      2.1745,      3.0209,    232.7553,     29.4017,      0.0065,      1.5570,
    15,  2002,   2272.9912,    119.7710,   1159.4438,    975.4808,   -184.7924,   1092.1993,    384.4224,    285.9440,    383.5132,     13.2278,      0.2612,      2.3400,      0.0115,      0.0228,      3.2524,    286.7470,   9578.2383,    375.4191,    209.3860,    662.0662,     82.5325,   5255.4805,    356.6347,      5.7349,     27.3594,      6.2570,      5.2320,      2.2069,      3.0531,    234.5061,     29.7195,      0.0031,      2.7546,
    16,  2003,   2650.9304,    112.9814,   1426.9541,    968.6592,   -458.8063,   1345.7749,    358.2816,    305.1182,    685.7540,     13.0706,      0.0000,      2.3400,      0.0245,      0.0230,      4.2823,    291.5303,   9875.6787,    421.4642,    206.3362,    673.5887,     81.5504,   5341.3887,    360.5220,      5.8306,     28.2092,      7.0244,      5.0831,      2.2453,      2.9544,    235.9893,     30.0435,      0.0065,      1.7253,
    17,  2004,   2694.8904,    121.6364,   1416.2202,   1006.9213,   -408.5844,    992.0981,    355.8727,    311.5450,    321.0241,     13.8585,      0.2336,      2.3464,      0.0091,      0.0230,      4.3096,    294.3701,  10145.0342,    433.7961,    210.1637,    684.8559,     83.7002,   5430.5430,    364.5935,      5.8874,     28.9771,      7.2299,      5.0906,      2.2828,      2.9453,    237.1526,     30.3828,      0.0056,      1.6984,
    18,  2005,   2571.2910,    122.7132,   1321.9258,   1015.8015,   -309.6428,    934.3985,    364.3538,    315.5420,    251.3124,     13.5852,      0.3423,      2.3400,      0.0073,      0.0225,      3.7535,    283.1363,  10329.2744,    405.7988,    220.0081,    704.5021,     86.5845,   5525.8799,    368.7307,      5.6627,     29.5012,      6.7633,      5.4147,      2.3483,      3.0928,    238.5259,     30.7275,      0.0063,      2.2552,
    19,  2006,   2779.9097,    125.1945,   1457.2380,   1011.9713,   -446.2430,   1101.7489,    402.2779,    338.4947,    363.2302,     13.4433,      0.4420,      2.3400,      0.0109,      0.0217,      4.4302,    296.3435,  10592.6553,    432.3604,    217.4718,    729.7813,     88.1358,   5620.3770,    372.9078,      5.9269,     30.2553,      7.2060,      5.3442,      2.4326,      3.0909,    240.1353,     31.0756,      0.0047,      1.5791,
    20,  2007,   2255.7346,    114.1338,   1178.5919,    936.0615,   -236.2015,    800.6030,    424.4443,    282.8162,    188.5658,     11.9199,      0.3925,      2.3400,      0.0055,      0.0207,      4.5065,    260.3750,  10710.6279,    412.5701,    244.0990,    749.5828,     95.0538,   5715.7373,    376.7649,      5.2075,     30.5911,      6.8762,      6.0891,      2.4986,      3.3423,    242.2419,     31.3970,      0.0087,      1.5034,
    21,  1998,   2522.7368,    117.9381,   1273.4036,   1039.8024,   -226.8309,   1209.1770,    396.5589,    312.5107,    454.4127,     13.7810,      0.0171,      2.3400,      0.0151,      0.0220,      4.3348,    284.1487,  10817.9600,    397.1414,    224.5091,    766.0045,     90.4176,   5818.3257,    381.1792,      5.6830,     30.9014,      6.6190,      5.5288,      2.5533,      3.1379,    244.2067,     31.7649,      0.0059,      1.6761,
    22,  1999,   2670.6318,    119.3295,   1360.6469,   1046.8359,   -326.2330,   1363.0037,    432.8086,    336.6467,    546.1108,     13.7892,      0.1044,      2.3400,      0.0153,      0.0228,      4.1842,    294.1538,  10997.2705,    412.2634,    206.6599,    773.2802,     87.3050,   5911.8472,    385.6957,      5.8831,     31.4138,      6.8711,      5.1421,      2.5776,      3.0517,    245.5705,     32.1413,      0.0061,      1.8272,
    23,  2000,   2606.1736,    121.2990,   1384.6227,   1029.9941,   -336.5251,   1131.5302,    386.2626,    318.2086,    430.2048,     13.1589,      0.7155,      2.3464,      0.0127,      0.0220,      3.8069,    282.6736,  11195.0166,    409.1182,    227.3334,    794.9536,     90.1001,   5998.5488,    390.1711,      5.6535,     31.9826,      6.8186,      5.6017,      2.6498,      3.1929,    246.8857,     32.5142,      0.0054,      2.2049,
    24,  2001,   2752.1191,    119.3356,   1452.7565,   1064.1157,   -402.6972,    946.5953,    406.9961,    332.3127,    242.2605,     13.6341,      0.2822,      2.3400,      0.0090,      0.0225,      4.4236,    294.1532,  11420.3184,    440.5472,    217.6588,    806.5797,     92.0040,   6093.0010,    394.8046,      5.8831,     32.6252,      7.3425,      5.3682,      2.6886,      3.1416,    248.5527,     32.9003,      0.0067,      1.5886,
    25,  2002,   2273.7283,    120.2600,   1159.0035,   1078.8652,    -80.5639,   1092.1993,    384.9282,    286.2879,    382.0498,     13.8336,      0.1449,      2.3400,      0.0119,      0.0236,      2.7417,    287.5671,  11466.8057,    376.9995,    211.1091,    808.3620,     89.8089,   6186.4126,    399.5731,      5.7513,     32.7575,      6.2833,      5.2750,      2.6945,      3.1774,    250.0354,     33.2977,      0.0042,      3.2708,
    26,  2003,   2652.1265,    114.4699,   1418.9454,   1067.2427,   -352.0659,   1345.7749,    358.6655,    305.7788,    684.7180,     13.6156,      0.0000,      2.3400,      0.0253,      0.0238,      3.1643,    292.2413,  11678.2754,    419.9508,    206.5896,    812.5297,     88.1525,   6263.9482,    404.3669,      5.8448,     33.3599,      6.9992,      5.1194,      2.7084,      3.0514,    251.1985,     33.6972,      0.0067,      2.8485,
    27,  2004,   2698.0674,    123.2906,   1449.7467,   1106.1993,   -343.2649,    992.0981,    356.2961,    311.9921,    320.1428,     14.4915,      0.0714,      2.3464,      0.0093,      0.0236,      3.0052,    295.0527,  11888.3721,    438.1592,    212.7057,    816.8598,     90.7769,   6343.4976,    409.3266,      5.9011,     33.9552,      7.3027,      5.1650,      2.7228,      3.0509,    251.9910,     34.1105,      0.0049,      3.0081,
    28,  2005,   2570.7471,    124.0369,   1361.0052,   1114.8008,   -249.9890,    934.3985,    364.4442,    316.0255,    250.7335,     14.2324,      0.1638,      2.3400,      0.0075,      0.0231,      2.3099,    283.6824,  12019.0146,    413.0799,    223.9785,    832.0753,     93.8234,   6430.4106,    414.3036,      5.6736,     34.3333,      6.8847,      5.5266,      2.7736,      3.2117,    253.0566,     34.5253,      0.0062,      3.7038,
    29,  2006,   2781.0112,    124.4788,   1472.6237,   1107.4613,   -366.3747,   1101.7489,    402.6461,    339.1496,    362.2126,     14.0635,      0.1189,      2.3400,      0.0112,      0.0223,      2.8264,    296.9783,  12219.0371,    436.6856,    220.2033,    854.1630,     95.0056,   6516.0742,    419.2675,      5.9396,     34.9058,      7.2781,      5.4303,      2.8472,      3.2000,    254.3843,     34.9389,      0.0048,      3.1877,
    30,  2007,   2256.0168,    115.2088,   1199.7288,   1017.3961,   -175.4528,    800.6030,    424.7706,    282.9346,    188.3914,     12.4367,      0.2358,      2.3400,      0.0056,      0.0211,      2.7159,    260.3757,  12286.8564,    417.7747,    247.0717,    871.0277,    101.9064,   6602.9331,    423.7828,      5.2075,     35.0971,      6.9629,      6.1734,      2.9034,      3.4525,    256.2443,     35.3152,      0.0088,      3.2985,
    31,  1998,   2549.6477,    122.5927,   1358.7096,   1136.8232,   -216.1512,   1209.1770,    398.1356,    312.7142,    452.7659,     14.4877,      0.0000,      2.3400,      0.0155,      0.0223,      2.5731,    284.4673,  12375.7002,    412.5173,    231.7507,    884.7358,     98.4011,   6697.8633,    428.9046,      5.6893,     35.3499,      6.8753,      5.6958,      2.9491,      3.2726,    257.9426,     35.7420,      0.0061,      3.4417,
    32,  1999,   2671.4417,    123.2883,   1403.7513,   1148.1083,   -267.5398,   1363.0037,    433.1743,    337.1633,    544.8260,     14.5386,      0.0619,      2.3400,      0.0157,      0.0233,      2.0822,    294.6653,  12512.7441,    423.1668,    212.2431,    888.3254,     94.7530,   6784.8789,    434.1421,      5.8933,     35.7444,      7.0528,      5.2835,      2.9611,      3.1778,    259.0878,     36.1785,      0.0064,      3.9331,
    33,  2000,   2607.1394,    121.0989,   1381.5967,   1119.3290,   -243.5691,   1131.5302,    386.6058,    318.7732,    429.4010,     13.7342,      0.5124,      2.3464,      0.0131,      0.0226,      1.3099,    283.0801,  12644.6768,    411.3482,    229.4290,    907.5064,     96.3511,   6861.8662,    439.2602,      5.6616,     36.1144,      6.8558,      5.6802,      3.0250,      3.2959,    260.1749,     36.6050,      0.0055,      4.7060,
    34,  2001,   2752.7615,    118.3565,   1455.5129,   1146.8563,   -322.4550,    946.5953,    407.2293,    332.7674,    241.7414,     14.1391,      0.0381,      2.3400,      0.0093,      0.0231,      1.6942,    294.5942,  12808.6729,    441.3869,    218.6256,    914.8463,     97.8792,   6944.0200,    444.5026,      5.8919,     36.5885,      7.3564,      5.4115,      3.0495,      3.2280,    261.5809,     37.0418,      0.0068,      4.3222,
    35,  2002,   2274.0459,    117.7269,   1196.2899,   1161.4694,    -35.4740,   1092.1993,    385.1502,    286.4458,    381.3956,     14.1262,      0.0557,      2.3400,      0.0128,      0.0248,      0.1236,    287.9498,  12818.2939,    383.5156,    214.4649,    911.7078,     96.0505,   7024.8281,    449.8246,      5.7590,     36.6162,      6.3919,      5.3585,      3.0390,      3.3328,    262.9522,     37.4853,      0.0043,      5.8931,
    36,  2003,   2652.9224,    108.1740,   1418.8621,   1149.5361,   -269.5673,   1345.7749,    358.9135,    306.2370,    684.0148,     13.6862,      0.0000,      2.3400,      0.0264,      0.0261,      0.4770,    292.5656,  12970.9121,    421.7253,    208.4406,    911.2875,     93.7292,   7089.2993,    455.1569,      5.8513,     37.0515,      7.0288,      5.1988,      3.0376,      3.1692,    264.2935,     37.9297,      0.0069,      5.5402,
    37,  2004,   2698.4282,    115.2082,   1449.9950,   1183.7234,   -265.9460,    992.0981,    356.4366,    312.2348,    319.7543,     14.5651,      0.0000,      2.3464,      0.0108,      0.0259,      0.3207,    295.3629,  13124.8066,    438.8450,    214.4471,    910.7001,     95.8810,   7153.5205,    460.6097,      5.9073,     37.4906,      7.3141,      5.2591,      3.0356,      3.1703,    265.1396,     38.3841,      0.0055,      5.6971,
    38,  2005,   2570.5713,    105.5739,   1367.1549,   1186.8094,   -184.3279,    934.3985,    364.4913,    316.2195,    250.4904,     13.7075,      0.0120,      2.3400,      0.0079,      0.0274,      0.3537,    283.9195,  13206.8955,    415.1578,    227.2084,    922.3150,     98.5976,   7224.6294,    466.0140,      5.6784,     37.7224,      6.9193,      5.6778,      3.0744,      3.4363,    266.7058,     38.8345,      0.0065,      5.6646,
    39,  2006,   2781.4199,    121.0306,   1470.4990,   1178.5081,   -293.2219,   1101.7489,    402.7843,    339.3893,    361.8389,     14.4357,      0.0000,      2.3400,      0.0117,      0.0234,      0.6015,    297.2509,  13354.0166,    436.7939,    221.9834,    941.7267,     99.8102,   7295.2637,    471.3698,      5.9450,     38.1490,      7.2799,      5.5358,      3.1391,      3.3095,    267.9562,     39.2808,      0.0050,      5.4174,
    40,  2007,   2256.4392,    107.1292,   1201.0621,   1077.3922,   -116.8739,    800.6030,    425.0233,    283.0019,    188.3249,     12.4657,      0.0000,      2.3400,      0.0057,      0.0235,      0.7188,    260.8080,  13378.1855,    418.4235,    248.3526,    955.9938,    106.8836,   7368.6338,    476.1897,      5.2162,     38.2212,      6.9737,      6.2063,      3.1866,      3.6035,    269.9279,     39.6824,      0.0091,      5.3003,
    41,  1998,   2549.7683,    115.2798,   1359.4110,   1202.1564,   -151.4589,   1209.1770,    398.2474,    312.9048,    452.3671,     14.4865,      0.0000,      2.3400,      0.0160,      0.0246,      0.5813,    284.5547,  13422.6143,    413.1348,    233.3558,    966.5900,    102.9508,   7448.4277,    481.6283,      5.6911,     38.3427,      6.8856,      5.7910,      3.2219,      3.4130,    271.6870,     40.1357,      0.0063,      5.4379,
    42,  1999,   2671.6208,    110.3849,   1407.6638,   1213.3119,   -206.4392,   1363.0037,    433.2465,    337.2815,    544.4758,     14.1971,      0.0228,      2.3400,      0.0186,      0.0278,      0.5067,    294.8930,  13515.3896,    424.4958,    213.8648,    966.3385,     99.2678,   7519.8569,    487.1420,      5.8979,     38.6120,      7.0749,      5.3435,      3.2211,      3.3451,    273.3145,     40.5951,      0.0067,      5.5127,
    43,  2000,   2607.4792,    106.0931,   1386.8948,   1181.7546,   -186.4271,   1131.5302,    386.7210,    318.9673,    429.1403,     13.6903,      0.0000,      2.3464,      0.0138,      0.0254,      0.3352,    283.2642,  13606.9580,    412.9985,    231.4385,    983.0948,    100.7298,   7581.6641,    492.5001,      5.6653,     38.8707,      6.8833,      5.7852,      3.2770,      3.4441,    274.5534,     41.0416,      0.0057,      5.6845,
    44,  2001,   2753.0410,    111.6913,   1456.1340,   1208.6136,   -261.5080,    946.5953,    407.3285,    332.9585,    241.5299,     14.2124,      0.0000,      2.3400,      0.0097,      0.0257,      0.6916,    294.7882,  13729.5469,    442.0843,    219.8129,    987.1476,    102.2174,   7648.7876,    497.9279,      5.8958,     39.2192,      7.3681,      5.4772,      3.2905,      3.3560,    276.0652,     41.4939,      0.0070,      5.3285,
    45,  2002,   2274.2554,     96.6779,   1205.8687,   1221.1395,     14.3022,   1092.1993,    385.2624,    286.5465,    381.0522,     13.3047,      0.0000,      2.3400,      0.0137,      0.0319,      0.0788,    288.1314,  13705.2402,    386.3346,    215.6152,    980.2422,    100.4652,   7714.0723,    503.4149,      5.7626,     39.1482,      6.4389,      5.3878,      3.2674,      3.5456,    278.3356,     41.9512,      0.0045,      5.9416,
    46,  2003,   2653.3569,    103.7386,   1419.2281,   1209.3981,   -209.8207,   1345.7749,    359.0424,    306.4866,    683.6381,     13.7999,      0.0000,      2.3400,      0.0277,      0.0290,      0.3229,    292.7166,  13821.0518,    422.5836,    209.1245,    976.5071,     97.9289,   7763.0508,    508.8852,      5.8543,     39.4790,      7.0431,      5.2205,      3.2550,      3.2951,    279.7979,     42.4070,      0.0071,      5.6980,
    47,  2004,   2698.5942,    107.6407,   1451.6677,   1241.1626,   -210.2213,    992.0981,    356.4982,    312.3429,    319.5830,     14.5288,      0.0000,      2.3464,      0.0121,      0.0294,      0.2181,    295.5162,  13939.0146,    439.5667,    215.4380,    972.5392,     99.7460,   7810.8481,    514.4423,      5.9103,     39.8119,      7.3261,      5.3214,      3.2418,      3.2952,    280.7568,     42.8701,      0.0050,      5.8034,
    48,  2005,   2570.5991,     99.8858,   1367.8302,   1241.2751,   -130.3897,    934.3985,    364.5267,    316.2764,    250.3980,     13.6831,      0.0060,      2.3400,      0.0083,      0.0312,      0.2890,    284.0321,  13986.5381,    415.7233,    227.6036,    981.7241,    102.5087,   7866.0688,    519.9041,      5.6806,     39.9449,      6.9287,      5.6881,      3.2724,      3.5839,    282.4832,     43.3253,      0.0069,      5.7330,
    49,  2006,   2781.6919,    114.4645,   1471.6353,   1230.0563,   -242.9046,   1101.7489,    402.8759,    339.5554,    361.5822,     14.4898,      0.0000,      2.3400,      0.0122,      0.0260,      0.4944,    297.3868,  14100.4746,    437.3130,    222.8041,    999.3118,    103.5145,   7921.0396,    525.2625,      5.9477,     40.2758,      7.2886,      5.5630,      3.3310,      3.4496,    283.7799,     43.7718,      0.0051,      5.5283,
